"id","Symbol","Company","Marketcap"
"291","PFIZER","Pfizer Limited","  1,952,948 "
"292","BLUESTARCO","Blue Star Limited","  1,947,172 "
"293","NAVINFLUOR","Navin Fluorine International Limited","  1,909,455 "
"294","CDSL","Central Depository Services (India) Limited","  1,906,498 "
"295","SANOFI","Sanofi India Limited","  1,858,007 "
"296","TRIDENT","Trident Limited","  1,849,832 "
"297","MOTILALOFS","Motilal Oswal Financial Services Limited","  1,843,042 "
"298","SUVENPHAR","Suven Pharmaceuticals Limited","  1,839,996 "
"299","PPLPHARMA","Piramal Pharma Limited","  1,836,913 "
"300","AFFLE","Affle (India) Limited","  1,830,774 "
"301","VINATIORGA","Vinati Organics Limited","  1,791,954 "
"302","TTML","Tata Teleservices (Maharashtra) Limited","  1,791,691 "
"303","CIEINDIA","CIE Automotive India Limited","  1,785,659 "
"304","COCHINSHIP","Cochin Shipyard Limited","  1,780,991 "
"305","CASTROLIND","Castrol India Limited","  1,777,947 "
"306","RRKABEL","R R Kabel Limited","  1,772,834 "
"307","JYOTHYLAB","Jyothy Labs Limited","  1,758,562 "
"308","CESC","CESC Limited","  1,756,381 "
"309","BLUEDART","Blue Dart Express Limited","  1,746,957 "
"310","WHIRLPOOL","Whirlpool of India Limited","  1,734,148 "
"311","JBMA","JBM Auto Limited","  1,731,375 "
"312","GSPL","Gujarat State Petronet Limited","  1,726,487 "
"313","ELGIEQUIP","Elgi Equipments Limited","  1,725,728 "
"314","CENTURYPLY","Century Plyboards (India) Limited","  1,715,064 "
"315","RBLBANK","RBL Bank Limited","  1,683,124 "
"316","CELLO","Cello World Limited","  1,670,577 "
"317","KAYNES","Kaynes Technology India Limited","  1,668,613 "
"318","RHIM","RHI MAGNESITA INDIA LIMITED","  1,662,853 "
"319","CLEAN","Clean Science and Technology Limited","  1,645,879 "
"320","FINCABLES","Finolex Cables Limited","  1,635,151 "
"321","INDIAMART","Indiamart Intermesh Limited","  1,632,572 "
"322","INOXWIND","Inox Wind Limited","  1,628,928 "
"323","PVRINOX","PVR INOX Limited","  1,628,075 "
"324","IRCON","Ircon International Limited","  1,612,044 "
"325","DCMSHRIRAM","DCM Shriram Limited","  1,603,711 "
"326","SHYAMMETL","Shyam Metalics and Energy Limited","  1,601,397 "
"327","APTUS","Aptus Value Housing Finance India Limited","  1,595,309 "
"328","CGCL","Capri Global Capital Limited","  1,587,288 "
"329","KIMS","Krishna Institute of Medical Sciences Limited","  1,583,910 "
"330","TVSHLTD","TVS Holdings Limited","  1,561,989 "
"331","EIHOTEL","EIH Limited","  1,560,284 "
"332","CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","  1,554,120 "
"333","CONCORDBIO","Concord Biotech Limited","  1,539,741 "
"334","FINEORG","Fine Organic Industries Limited","  1,526,330 "
"335","KEC","KEC International Limited","  1,514,765 "
"336","NSLNISP","NMDC Steel Limited","  1,506,331 "
"337","IEX","Indian Energy Exchange Limited","  1,498,044 "
"338","APLLTD","Alembic Pharmaceuticals Limited","  1,492,700 "
"339","TEJASNET","Tejas Networks Limited","  1,478,312 "
"340","NATCOPHARM","Natco Pharma Limited","  1,474,211 "
"341","TANLA","Tanla Platforms Limited","  1,471,865 "
"342","NBCC","NBCC (India) Limited","  1,467,900 "
"343","LAXMIMACH","Lakshmi Machine Works Limited","  1,467,711 "
"344","MANAPPURAM","Manappuram Finance Limited","  1,455,868 "
"345","WELCORP","Welspun Corp Limited","  1,434,327 "
"346","CHALET","Chalet Hotels Limited","  1,430,471 "
"347","POLYMED","Poly Medicure Limited","  1,429,475 "
